library_engine,mode,query_name,data_format,layout,rows,median_time_s,peak_memory_mb,input_size_mb,result_check,notes
DuckDB,threads_1,Q3_daily_delivered_weight,parquet,default,2000000,2.0601,1932.01,41.9,passed,"Task 4 DuckDB scalability test with PRAGMA threads=1. | result={'type': 'pandas', 'shape': (15, 4), 'columns': ['event_date', 'delivered_count', 'total_package_weight_kg', 'avg_package_weight_kg']}"
DuckDB,threads_2,Q3_daily_delivered_weight,parquet,default,2000000,1.8342,1933.35,41.9,passed,"Task 4 DuckDB scalability test with PRAGMA threads=2. | result={'type': 'pandas', 'shape': (15, 4), 'columns': ['event_date', 'delivered_count', 'total_package_weight_kg', 'avg_package_weight_kg']}"
DuckDB,threads_4,Q3_daily_delivered_weight,parquet,default,2000000,1.7554,1934.99,41.9,passed,"Task 4 DuckDB scalability test with PRAGMA threads=4. | result={'type': 'pandas', 'shape': (15, 4), 'columns': ['event_date', 'delivered_count', 'total_package_weight_kg', 'avg_package_weight_kg']}"
DuckDB,threads_8,Q3_daily_delivered_weight,parquet,default,2000000,1.786,1937.14,41.9,passed,"Task 4 DuckDB scalability test with PRAGMA threads=8. | result={'type': 'pandas', 'shape': (15, 4), 'columns': ['event_date', 'delivered_count', 'total_package_weight_kg', 'avg_package_weight_kg']}"
Polars,default_thread_pool_22,Q3_daily_delivered_weight,parquet,default,2000000,2.4639,1920.49,41.9,passed,"Task 4 Polars reference run. Polars thread pool size is configured at process startup, so it is not changed dynamically inside this notebook. | result={'type': 'polars', 'shape': (15, 4), 'columns': ['event_date', 'delivered_count', 'total_package_weight_kg', 'avg_package_weight_kg']}"
